user_id,JobID,score_TFIDF,score_CV,score_KNN,score_BERT,Final,actual_application
1,2350,0.4054620264403853,0.4003536772092431,0.40546202644038554,0.5446555,0.5446555,1
1,1688,0.7157018995976621,0.7019297237042209,0.7157018995976622,0.51124585,0.51124585,2
1,2444,0.38241081865505355,0.28121825168657644,0.3824108186550538,0.48606837,0.48606837,2
1,1743,0.22999839131769229,0.2679498105233422,0.2299983913176925,0.48476022,0.48476022,1
1,2321,0.31073784411133215,0.3113106173122848,0.3107378441113324,0.46848318,0.46848318,1
1,1915,0.41697725728896773,0.28498301591287456,0.41697725728896784,0.46727002,0.46727002,2
1,1748,0.5562665931219136,0.42431452993753005,0.5562665931219137,0.45301655,0.45301655,2
1,1674,0.285027316183756,0.3024371372305681,0.2850273161837562,0.4393872,0.4393872,1
1,2433,0.4658748849350096,0.2737683230747995,0.4658748849350097,0.4318909,0.4318909,2
1,1736,0.36734999295284787,0.41531059753436683,0.3673499929528481,0.42962736,0.42962736,2
2,1264,0.2776846223836428,0.33461013295381414,0.27768462238364294,0.5197706,0.5197706,2
2,1222,0.30987019345652245,0.399524550372097,0.30987019345652234,0.5148145,0.5148145,2
2,1305,0.2873632106966884,0.33461013295381414,0.28736321069668863,0.51251334,0.51251334,1
2,1303,0.2742077193753885,0.33461013295381414,0.27420771937538874,0.5086117,0.5086117,2
2,1395,0.11504118764543608,0.31385874073334175,0.11504118764543633,0.5073235,0.5073235,1
2,1263,0.2735581846864848,0.33461013295381414,0.27355818468648496,0.5039001,0.5039001,2
2,1304,0.09285847799946734,0.21312076304096783,0.09285847799946761,0.5004901,0.5004901,1
2,1249,0.18149787606584988,0.21132331922708097,0.18149787606585044,0.49182165,0.49182165,1
2,2393,0.17863701810050342,0.2434658393350581,0.1786370181005037,0.47539076,0.47539076,1
2,1656,0.0914157458709918,0.2958565743618875,0.09141574587099238,0.46370065,0.46370065,2
3,1333,0.2649885437375735,0.21232229961987537,0.26498854373757375,0.4767831,0.4767831,2
3,1258,0.4010641772707728,0.3922948625339736,0.40106417727077304,0.41510645,0.41510645,1
3,1739,0.27139427994697046,0.2185766280036313,0.2713942799469707,0.40380704,0.40380704,1
3,1079,0.1957780793087346,0.24647055790410177,0.1957780793087348,0.3978167,0.3978167,0
3,1648,0.2905854694978388,0.3945241578949442,0.29058546949783903,0.3597843,0.3597843,2
3,858,0.3046317885035796,0.25416148875554173,0.30463178850357975,0.3487214,0.3487214,1
3,2048,0.49382782315270035,0.2830578579504528,0.4938278231527008,0.34783915,0.34783915,2
3,1163,0.20918477015006126,0.2138992658384416,0.20918477015006176,0.34718913,0.34718913,1
3,1604,0.27899948100202787,0.2832673739810042,0.2789994810020281,0.3433858,0.3433858,1
3,1289,0.2472856581667217,0.44850003897370827,0.2472856581667217,0.33337843,0.33337843,1
4,1391,0.08233692770313758,0.36390829435188066,0.08233692770313786,0.47249055,0.47249055,0
4,1395,0.05040544310727613,0.26709060463641343,0.05040544310727668,0.43600005,0.43600005,2
4,2225,0.039279691293528235,0.22988260059015125,0.03927969129352851,0.3840328,0.3840328,1
4,1407,0.08686267999223721,0.46431671772356287,0.08686267999223748,0.38189536,0.38189536,1
4,2011,0.11654221041243645,0.7459003090187779,0.1165422104124367,0.38079518,0.38079518,1
4,2032,0.07489076776588449,0.39323565579399067,0.07489076776588477,0.37476635,0.37476635,0
4,1343,0.055729944289771544,0.5679415387236516,0.05572994428977182,0.37425125,0.37425125,1
4,1992,0.07725370419168276,0.30568596637282164,0.07725370419168304,0.36888003,0.36888003,1
4,848,0.054174406003464376,0.2417462692355229,0.054174406003464654,0.36730647,0.36730647,1
4,1731,0.046566195193356835,0.3683517041126997,0.04656619519335711,0.3638754,0.3638754,2
5,1450,0.03954759174008168,0.051213795393649786,0.03954759174008196,0.41153747,0.41153747,1
5,1383,0.03173497617603402,0.059085536332731114,0.031734976176034296,0.27308768,0.27308768,0
5,236,0.04804809409904909,0.0618099599400993,0.048048094099049365,0.27198905,0.27198905,1
5,2216,0.045198977439770194,0.09691061202868045,0.045198977439770194,0.26888627,0.26888627,0
5,1899,0.1720449454551654,0.06058359365829802,0.1720449454551657,0.26362443,0.26362443,0
5,1782,0.009070098067248455,0.004293695165944911,0.009070098067248733,0.25419813,0.25419813,1
5,1825,0.24188067442674888,0.05821914044142629,0.24188067442674888,0.24596122,0.24596122,1
5,1736,0.0014344587563477895,0.028300229568436808,0.0014344587563477895,0.24157247,0.24157247,0
5,1220,0.126850722985419,0.11503038902333618,0.12685072298541927,0.22521152,0.22521152,1
5,1495,0.43617615681281807,0.34633154663600274,0.4361761568128185,0.22379403,0.22379403,1
506,1454,1.0,0.7693530120735762,1.0,0.55345905,0.55345905,1
506,1517,0.5726372371800852,0.35674807261595,0.5726372371800853,0.5047273,0.5047273,1
506,1456,0.6646116051637716,0.4267747034259284,0.6646116051637717,0.4938743,0.4938743,1
506,1453,0.29616193050439776,0.3348392816223573,0.296161930504398,0.49330747,0.49330747,2
506,2357,0.6425663925625333,0.45538324188224655,0.642566392562533,0.49033552,0.49033552,0
506,313,0.3921171546125304,0.36794753553831283,0.3921171546125308,0.4856475,0.4856475,2
506,1958,0.2941046117227511,0.2859260946071852,0.2941046117227513,0.47202453,0.47202453,2
506,1421,0.8999428460249753,0.6404439945517348,0.8999428460249752,0.4706882,0.4706882,1
